Disease Name,Current Standard of Treatment if Listed on NIH Rare Diseases Website
Hereditary multiple osteochondromas,"Currently, there is no known medical treatment for HMO. Osteochondromas are not usually removed because they stop growing around age 12. Another consideration is how close thetumoris to the affected bone's growth plate, because surgery can affect how the bone grows.[1][5]Surgery may be considered, however, if an osteochondroma is causing pain, bone fracture, nerve irritation, or if the tumor continues to grow after the person's bones have stopped growing.[1][5]The surgical treatment of choice is complete removal of the tumor. Depending on the location of the osteochondroma, this may be relatively simple. However, if an osteochondroma is close to nerves and blood vessels, this may make surgery difficult and risky.[5]Surgery may also be necessary to correct painful limb abnormalities that are caused by multiple osteochondromas. Surgery may be needed to cut and realign the bones that have become deformed, which is known as osteotomy.[5]If the legs are not equal in length, treatment may include a procedure to slow down the growth of the longer leg. Surgery may also be needed to correct the forearm deformity seen in this condition. Adults with this condition who have untreated forearm deformities usually do not have significant functional limitations.[1]Although rare, an osteochondroma can become cancerous (malignant), which usually takes the form of a low grade chondrosarcoma. This type of malignant tumor is unlikely to spread elsewhere in the body. Higher grades ofcancercan occur, but this is even more uncommon. In that case, other therapies, such aschemotherapyand radiation, may be used in treatment.[1][5]GeneReviewsprovides more information about treatment for hereditary multiple osteochondromas."
Hereditary neuropathy with liability to pressure palsy,"There is no specific treatment for hereditary neuropathy with liability to pressure palsy. Treatment is based on an individual's symptoms. Some people with this condition use braces, such as awrist splintor ankle-foot orthosis (AFO). Protective pads worn at the elbows or knees may prevent pressure and trauma to local nerves. Activities to avoid include prolonged sitting with legs crossed, occupations requiring repetitive movements of the wrist, prolonged leaning on elbows, and rapid weight loss.Vincristine, commonly used in the treatment oflymphoma, has been reported to worsen the symptoms of hereditary neuropathy with liability to pressure palsy. Surgical decompression of nerves remains a controversial treament for this condition.[2]"
Hereditary sensory neuropathy type 1,"Management of hereditary sensory neuropathy type 1 generally follows the guidelines fordiabetic foot care, including careful cleansing and protection of wounds and surgical care when needed. Pain medications may be used by those who experience shooting pains.[4]"
Leukonychia totalis,"There is no universally successful treatment for the whitening of the nails in people with leukonychia totalis.[3]However, if the condition is known to have an underlying cause, treating that cause (when possible) may improve the condition."
Hypereosinophilic syndrome,"The treatment and management of hypereosinophilicsyndrome(HES) varies based on the severity of the condition and if an underlying cause for theeosinophiliahas been identified. For example, in people with myeloproliferative HES who have a somaticgene deletionleading to theFIP1L1/PDGFRAfusion gene,imatinibis the drug of choice.[1][2][3]Affected people without theFIP1L1/PDGFRAfusiongeneare typically treated withcorticosteroidsinitially. Approximately one third of these cases do not respond to steroids so other agents, such ashydroxyurea,interferon-alpha, and imatinib, may be administered.[1][2][3]In people who are affected by HES that do not respond to standard treatments, other therapies may be tried, includingchemotherapyand hematopoieticstem celltransplantation; however, there is little data regarding the effectiveness of these treatments so they are not routinely given.[1][2][3]"
Heterotaxy,"The treatment for heterotaxy depends on the specificorgansthat are affected in each individual. In infants diagnosed with the condition, heart surgery may be necessary to correct anyheart defects. For some individuals, this may require multiple procedures to correct the defect. One common procedure is known as aFontan procedure, which creates a single ventricle of the heart that is responsible for pumping blood both throughout the body and to the lungs. Other surgical procedures such as theLadd proceduremay be necessary to correct an intestinal malrotation.[6]Other treatment options include inserting apacemakerto control the rhythm of the heart. Some individuals may require medications to lower blood pressure to reduce stress on the heart.Vaccinationsorantibioticsthat are taken even when there isn’t an infection (prophylactic antibiotics) may be recommended to make up for a spleen that isn’t functioning properly. In some cases, aheart transplantmay be necessary when individuals who had surgical corrections as infants get older. A multidisciplinary team of doctors may be recommended to follow a person who is diagnosed with heterotaxy.[4]"
Nonspherocytic hemolytic anemia due to hexokinase deficiency,"When severeanemiais present, blood transfusions may be necessary. Affected individuals should avoid any drugs that can cause destruction ofred blood cells, as well as any environmental triggers that may be identified.[6]"
Progeria,"Management for progeria generally focuses on the signs and symptoms of the condition and may include the following:Exercise, diet modification, and medication when the lipid profile becomes abnormalFrequent small meals to maximize caloric intakeOral hydrationUse of shoe pads for foot discomfort due to lack of body fatUse of sunscreen on all exposed areas of skinNitroglycerin for anginaRoutine anticongestive therapy ifcongestive heart failureis presentStatinsfor their putative effect on farnesylation inhibitionAnticoagulation therapyif vascular blockage,transient ischemic attacks, stroke, angina, or heart attack occurRoutine physical and occupational therapy to help maintain range of motion in large and small joints[4]Although there is currently no cure for progeria, research involving treatments is ongoing and scientists have been making much progress. The results of a recently publishedphase II clinical trialprovided preliminary evidence that lonafarnib, afarnesyltransferase inhibitor, may improve cardiovascular status, bone structure, and audiological (hearing) status in affected children.[5]A free, full-text version of this study is available on PubMed and can be viewed byclicking here."
Hypotrichosis simplex,"Individuals with hypotrichosis simplex experience a gradual loss of scalp hair that begins during the middle of the first decade and results in almost complete loss of hair by the third decade. A few sparse, fine, short hairs may remain in some individuals.[3]There is currently no treatment for hypotrichosis simplex.[2]"
Sinonasal undifferentiated carcinoma,"Treatment is determined for each affected individual based on the size of thetumorand whether it has spread to other parts of the body.[1]Currently, it is believed that the best treatment for sinonasal undifferentiated carcinoma consists of multiple therapies, including surgery to remove as much of the tumor as possible, andchemotherapyand/orradiation therapyto destroy anycancercellsthat may remain in the body.[1][6]If surgery can remove the tumor completely, and it is followed by chemotherapy and radiation therapy, the survival outcome is better. In cases where the tumor can't be completely removed by surgery, chemotherapy and radiotherapy are indicated.[7]Other treatment options are currently being studied, such asboron neutron capture therapy,autologous bone marrow transplant, andneoadjuvant selective intra-arterial cisplatin with concurrent radiation therapy, which showed limited success. Other researches are investigating the use ofTK-inhibitors targeting c-KIT(e.g.Imatinib/Gleevac).[8]Follow-up treatment can involve dental prostheses, eye prostheses, and visits with dentists andophthalmologists, in addition to regular follow-up with the original treating doctors for cancer follow-up. This follow-up consists of regularmagnetic resonance imaging(MRI) and, if necessary,tissuebiopsy.[9]"
Immunodeficiency with hyper IgM type 1,"The cornerstone of treatment for individuals with hyper IgMsyndromeis regular injections of intravenous immunogloblulin (IVIG). This treatment not only supplies missing IgGantibodies, but also prompts a drop in IgM antibodies.[5][3]Patients with neutropenia can takegranulocyte colony-stimulating factor(G-CSF).Antibioticsmay also be prescribed to prevent the respiratory infection, pneumocystis carinii pneumonia.[3]Most children with hyper-IgM syndrome respond well to treatment, become symptom-free and resume normal growth.[5]"
Insulin autoimmune syndrome,"The treatment of insulin autoimmunesyndromeis similar to treatments for other conditions that causelow blood sugar. This includes eating smaller meals more frequently in order to maintain a more consistent blood sugar level and continuous monitoring of blood sugar. Additional treatment options can include treatment with steroids and a procedure calledplasmaphoresiswhich removes the blood from the body, separates the insulinantibodiesin the blood stream, and replaces the blood without the antibodies. Any damage to the pancreas may also require treatment.[7][8]"
