Ingredient,Approved NDA,Dosage Form
GALLIUM CITRATE GA-67,N018058,INJECTABLE
GALLIUM CITRATE GA-67,N017478,INJECTABLE
GANCICLOVIR,N022211,GEL
GENTAMICIN SULFATE; PREDNISOLONE ACETATE,N050586,SUSPENSION/DROPS
GENTAMICIN SULFATE; PREDNISOLONE ACETATE,N050612,OINTMENT
GLUCAGON HYDROCHLORIDE,N201849,POWDER
GLUCAGON HYDROCHLORIDE RECOMBINANT,N020918,INJECTABLE
GLUCAGON RECOMBINANT,N020928,INJECTABLE
"GONADOTROPIN, CHORIONIC",N017016,INJECTABLE
GUANIDINE HYDROCHLORIDE,N001546,TABLET
HISTRELIN ACETATE,N021732,IMPLANT
HYALURONIDASE,N021665,INJECTABLE
HYALURONIDASE,N021640,INJECTABLE
HYDROCORTISONE ACETATE,N017351,"AEROSOL, METERED"
"HYDROCORTISONE ACETATE; NEOMYCIN SULFATE;
POLYMYXIN B SULFATE",N050218,CREAM
HYDROCORTISONE PROBUTATE,N020453,CREAM
HYDROXOCOBALAMIN,N022041,INJECTABLE
HYDROXYPROPYL CELLULOSE,N018771,INSERT
IMIGLUCERASE,N020367,INJECTABLE
INDIUM IN-111 CHLORIDE,N019862,INJECTABLE
INDIUM IN-111 CHLORIDE,N019841,INJECTABLE
INDIUM IN-111 OXYQUINOLINE,N019044,INJECTABLE
INDIUM IN-111 PENTETATE DISODIUM,N017707,INJECTABLE
INDIUM IN-111 PENTETREOTIDE KIT,N020314,INJECTABLE
INSULIN HUMAN,N018780,INJECTABLE; SOLUTION
"INSULIN LISPRO PROTAMINE RECOMBINANT; INSULIN
LISPRO RECOMBINANT",N021017,INJECTABLE
"INSULIN LISPRO PROTAMINE RECOMBINANT; INSULIN
LISPRO RECOMBINANT",N021018,INJECTABLE
INSULIN LISPRO RECOMBINANT,N020563,INJECTABLE
IOBENGUANE SULFATE I-123,N022290,SOLUTION
IOHEXOL,N018956,INJECTABLE
IOHEXOL,N018956,SOLUTION
IOHEXOL,N205383,FOR SOLUTION
IOHEXOL,N020608,SOLUTION
IOPROMIDE,N021425,INJECTABLE
IOPROMIDE,N020220,INJECTABLE
IOTHALAMATE MEGLUMINE,N013295,INJECTABLE
IOTHALAMATE MEGLUMINE,N017057,SOLUTION
IOTHALAMATE MEGLUMINE,N016983,INJECTABLE
IOTHALAMATE SODIUM I-125,N017279,INJECTABLE
IOVERSOL,N019710,INJECTABLE
IOVERSOL,N020923,INJECTABLE
IRON DEXTRAN,N040024,INJECTABLE
IRON DEXTRAN,N017441,INJECTABLE
IRON DEXTRAN,N017807,INJECTABLE
IRON SUCROSE,N021135,INJECTABLE
ISOCARBOXAZID,N011961,TABLET
ISONIAZID; PYRAZINAMIDE; RIFAMPIN,N050705,TABLET
ISOSORBIDE DINITRATE,N019790,"CAPSULE, EXTENDED RELEASE"
LEUPROLIDE ACETATE; NORETHINDRONE ACETATE,N203696,"INJECTABLE, TABLET"
LEVOTHYROXINE SODIUM,N021924,CAPSULE
LIDOCAINE; PRILOCAINE,N021451,GEL
LIOTRIX (T4;T3),N016807,TABLET
LOTEPREDNOL ETABONATE,N020803,SUSPENSION/DROPS
LOTEPREDNOL ETABONATE,N202872,GEL
LOTEPREDNOL ETABONATE,N200738,OINTMENT
LOTEPREDNOL ETABONATE,N020583,SUSPENSION/DROPS
MAFENIDE ACETATE,N016763,CREAM
MANNITOL,N016772,SOLUTION
MECASERMIN RECOMBINANT,N021839,INJECTABLE
MENOTROPINS (FSH;LH),N021663,INJECTABLE
METHOXSALEN,N020969,INJECTABLE
METHSUXIMIDE,N010596,CAPSULE
METYRAPONE,N012911,CAPSULE
METYROSINE,N017871,CAPSULE
MORPHINE SULFATE,N019999,INJECTABLE
MORPHINE SULFATE,N018565,INJECTABLE
NAFARELIN ACETATE,N019886,"SPRAY, METERED"
NATAMYCIN,N050514,SUSPENSION
NESIRITIDE RECOMBINANT,N020920,FOR SOLUTION
NICOTINE,N020714,INHALANT
NITAZOXANIDE,N021498,FOR SUSPENSION
NITISINONE,N021232,CAPSULE
NITROGLYCERIN,N021359,OINTMENT
OXYTOCIN,N018261,INJECTABLE
OXYTOCIN,N018248,INJECTABLE
PANCRELIPASE (AMYLASE;LIPASE;PROTEASE),N022175,"CAPSULE, DELAYED RELEASE"
PANCRELIPASE (AMYLASE;LIPASE;PROTEASE),N022222,"CAPSULE, DELAYED RELEASE"
PANCRELIPASE (AMYLASE;LIPASE;PROTEASE),N022523,"CAPSULE, DELAYED RELEASE"
PANCRELIPASE (AMYLASE;LIPASE;PROTEASE),N022542,TABLET
PEGADEMASE BOVINE,N019818,INJECTABLE
PEGAPTANIB SODIUM,N021756,INJECTABLE
PEGVISOMANT,N021106,INJECTABLE
PENICILLIN G BENZATHINE,N050141,INJECTABLE
PORACTANT ALFA,N020744,SUSPENSION
PORFIMER SODIUM,N020451,INJECTABLE
PREDNISOLONE ACETATE,N017100,SUSPENSION/DROPS
PREDNISOLONE ACETATE; SULFACETAMIDE SODIUM,N012813,SUSPENSION
RIFAPENTINE,N021024,TABLET
RUBIDIUM CHLORIDE RB-82,N202153,SOLUTION
RUBIDIUM CHLORIDE RB-82,N019414,INJECTABLE
SALMETEROL XINAFOATE,N020692,POWDER
SAMARIUM SM-153 LEXIDRONAM PENTASODIUM,N020570,INJECTABLE
SECRETIN SYNTHETIC HUMAN,N021256,FOR SOLUTION
SERTACONAZOLE NITRATE,N021385,CREAM
SILVER SULFADIAZINE,N018578,CREAM
SOMATROPIN RECOMBINANT,N019640,INJECTABLE
SOMATROPIN RECOMBINANT,N019764,INJECTABLE
SOMATROPIN RECOMBINANT,N021426,INJECTABLE
SOMATROPIN RECOMBINANT,N020604,INJECTABLE
SOMATROPIN RECOMBINANT,N021905,INJECTABLE
SOMATROPIN RECOMBINANT,N019774,INJECTABLE
SOMATROPIN RECOMBINANT,N021597,INJECTABLE
SOMATROPIN RECOMBINANT,N020522,INJECTABLE
SOMATROPIN RECOMBINANT,N020280,INJECTABLE
SOYBEAN OIL,N019942,INJECTABLE
SUCCIMER,N019998,CAPSULE
SULCONAZOLE NITRATE,N018738,SOLUTION
SULCONAZOLE NITRATE,N018737,CREAM
SUMATRIPTAN SUCCINATE,N208223,SOLUTION
TALC,N020587,"AEROSOL, METERED"
TALC,N021388,POWDER
TECHNETIUM TC-99M ALBUMIN AGGREGATED KIT,N017881,INJECTABLE
TECHNETIUM TC-99M ALBUMIN AGGREGATED KIT,N017776,INJECTABLE
TECHNETIUM TC-99M BICISATE KIT,N020256,INJECTABLE
TECHNETIUM TC-99M DISOFENIN KIT,N018467,INJECTABLE
TECHNETIUM TC-99M EXAMETAZIME KIT,N019829,INJECTABLE
TECHNETIUM TC-99M EXAMETAZIME KIT,N208870,POWDER
TECHNETIUM TC-99M MEDRONATE,N018035,INJECTABLE
TECHNETIUM TC-99M MERTIATIDE KIT,N019882,INJECTABLE
TECHNETIUM TC-99M OXIDRONATE KIT,N018321,INJECTABLE
TECHNETIUM TC-99M PENTETATE KIT,N018511,INJECTABLE
TECHNETIUM TC-99M RED BLOOD CELL KIT,N019981,INJECTABLE
"TECHNETIUM TC-99M SODIUM PERTECHNETATE
GENERATOR",N017771,SOLUTION
"TECHNETIUM TC-99M SODIUM PERTECHNETATE
GENERATOR",N017693,SOLUTION
"TECHNETIUM TC-99M SODIUM PERTECHNETATE
GENERATOR",N017243,SOLUTION
TECHNETIUM TC-99M TETROFOSMIN KIT,N020372,INJECTABLE
TERCONAZOLE,N021735,CREAM
TESTOSTERONE,N202763,GEL
THYROTROPIN ALFA,N020898,INJECTABLE
TOBRAMYCIN,N050555,OINTMENT
TRETINOIN,N020400,GEL
TRIMETHADIONE,N005856,TABLET
"UREA, C-14",N020617,CAPSULE
UROFOLLITROPIN,N021289,INJECTABLE
VALRUBICIN,N020892,SOLUTION
VELAGLUCERASE ALFA,N022575,INJECTABLE
XENON XE-133,N017284,GAS
XENON XE-133,N018327,GAS
ZANAMIVIR,N021036,POWDER
ZINC ACETATE,N020458,CAPSULE
ZINC CHLORIDE,N018959,INJECTABLE
